date,sales,revenue,estado,codigo,asp,canal
2014-01-01,4,22158,Ciudad de México,CMX,5539.5,Correo
2014-01-01,28,159440,Ciudad de México,CMX,5694.285714285715,Call Center
2014-01-01,27,113007,Ciudad de México,CMX,4185.444444444444,Recomendación
2014-01-01,36,190092,Ciudad de México,CMX,5280.333333333333,Web
2014-01-01,1,8165,Aguascalientes,AGU,8165,Correo
2014-01-01,6,58754,Aguascalientes,AGU,9792.333333333334,Call Center
2014-01-01,6,41643,Aguascalientes,AGU,6940.5,Recomendación
2014-01-01,8,70049,Aguascalientes,AGU,8756.125,Web
2014-01-01,1,11599,Baja California,BCN,11599,Correo
2014-01-01,8,83458,Baja California,BCN,10432.25,Call Center
2014-01-01,8,59153,Baja California,BCN,7394.125,Recomendación
2014-01-01,11,99503,Baja California,BCN,9045.727272727272,Web
2014-01-01,2,13287,Baja California Sur,BCS,6643.5,Correo
2014-01-01,10,95606,Baja California Sur,BCS,9560.6,Call Center
2014-01-01,10,67763,Baja California Sur,BCS,6776.3,Recomendación
2014-01-01,13,113986,Baja California Sur,BCS,8768.153846153846,Web
2014-01-01,1,3248,Campeche,CAM,3248,Correo
2014-01-01,3,23371,Campeche,CAM,7790.333333333333,Call Center
2014-01-01,3,16564,Campeche,CAM,5521.333333333333,Recomendación
2014-01-01,4,27863,Campeche,CAM,6965.75,Web
2014-01-01,2,11586,Coahuila de Zaragoza,COA,5793,Correo
2014-01-01,12,83367,Coahuila de Zaragoza,COA,6947.25,Call Center
2014-01-01,12,59088,Coahuila de Zaragoza,COA,4924,Recomendación
2014-01-01,16,99394,Coahuila de Zaragoza,COA,6212.125,Web
2014-01-01,2,11148,Colima,COL,5574,Correo
2014-01-01,13,80214,Colima,COL,6170.307692307692,Call Center
2014-01-01,13,56853,Colima,COL,4373.307692307692,Recomendación
2014-01-01,17,95634,Colima,COL,5625.529411764706,Web
2014-01-01,1,3124,Chiapas,CHP,3124,Correo
2014-01-01,3,22476,Chiapas,CHP,7492,Call Center
2014-01-01,3,15931,Chiapas,CHP,5310.333333333333,Recomendación
2014-01-01,4,26797,Chiapas,CHP,6699.25,Web
2014-01-01,2,8498,Chihuahua,CHH,4249,Correo
2014-01-01,14,61149,Chihuahua,CHH,4367.785714285715,Call Center
2014-01-01,14,43341,Chihuahua,CHH,3095.785714285714,Recomendación
2014-01-01,18,72905,Chihuahua,CHH,4050.277777777778,Web
2014-01-01,2,8853,Durango,DUR,4426.5,Correo
2014-01-01,12,63704,Durango,DUR,5308.666666666667,Call Center
2014-01-01,12,45152,Durango,DUR,3762.6666666666665,Recomendación
2014-01-01,16,75951,Durango,DUR,4746.9375,Web
2014-01-01,2,9243,Guanajuato,GUA,4621.5,Correo
2014-01-01,12,66505,Guanajuato,GUA,5542.083333333333,Call Center
2014-01-01,12,47137,Guanajuato,GUA,3928.0833333333335,Recomendación
2014-01-01,15,79291,Guanajuato,GUA,5286.066666666667,Web
2014-01-01,1,10229,Guerrero,GRO,10229,Correo
2014-01-01,7,73607,Guerrero,GRO,10515.285714285714,Call Center
2014-01-01,7,52170,Guerrero,GRO,7452.857142857143,Recomendación
2014-01-01,9,87757,Guerrero,GRO,9750.777777777777,Web
2014-01-01,2,10327,Hidalgo,HID,5163.5,Correo
2014-01-01,11,74306,Hidalgo,HID,6755.090909090909,Call Center
2014-01-01,11,52666,Hidalgo,HID,4787.818181818182,Recomendación
2014-01-01,15,88591,Hidalgo,HID,5906.066666666667,Web
2014-01-01,4,24343,Jalisco,JAL,6085.75,Correo
2014-01-01,24,175162,Jalisco,JAL,7298.416666666667,Call Center
2014-01-01,23,124150,Jalisco,JAL,5397.826086956522,Recomendación
2014-01-01,31,208837,Jalisco,JAL,6736.677419354839,Web
2014-01-01,4,12620,México,MEX,3155,Correo
2014-01-01,23,90807,México,MEX,3948.1304347826085,Call Center
2014-01-01,22,64362,México,MEX,2925.5454545454545,Recomendación
2014-01-01,29,108265,México,MEX,3733.2758620689656,Web
2014-01-01,1,8728,Michoacán de Ocampo,MIC,8728,Correo
2014-01-01,9,62801,Michoacán de Ocampo,MIC,6977.888888888889,Call Center
2014-01-01,9,44512,Michoacán de Ocampo,MIC,4945.777777777777,Recomendación
2014-01-01,12,74875,Michoacán de Ocampo,MIC,6239.583333333333,Web
2014-01-01,1,3248,Morelos,MOR,3248,Correo
2014-01-01,3,23371,Morelos,MOR,7790.333333333333,Call Center
2014-01-01,3,16564,Morelos,MOR,5521.333333333333,Recomendación
2014-01-01,4,27863,Morelos,MOR,6965.75,Web
2014-01-01,2,8685,Nayarit,NAY,4342.5,Correo
2014-01-01,12,62496,Nayarit,NAY,5208,Call Center
2014-01-01,11,44295,Nayarit,NAY,4026.818181818182,Recomendación
2014-01-01,15,74510,Nayarit,NAY,4967.333333333333,Web
2014-01-01,4,12620,Nuevo León,NLE,3155,Correo
2014-01-01,23,90807,Nuevo León,NLE,3948.1304347826085,Call Center
2014-01-01,22,64362,Nuevo León,NLE,2925.5454545454545,Recomendación
2014-01-01,29,108265,Nuevo León,NLE,3733.2758620689656,Web
2014-01-01,1,3124,Oaxaca,OAX,3124,Correo
2014-01-01,3,22476,Oaxaca,OAX,7492,Call Center
2014-01-01,3,15931,Oaxaca,OAX,5310.333333333333,Recomendación
2014-01-01,4,26797,Oaxaca,OAX,6699.25,Web
2014-01-01,1,7653,Puebla,PUE,7653,Correo
2014-01-01,7,55066,Puebla,PUE,7866.571428571428,Call Center
2014-01-01,7,39029,Puebla,PUE,5575.571428571428,Recomendación
2014-01-01,9,65652,Puebla,PUE,7294.666666666667,Web
2014-01-01,4,24343,Querétaro,QUE,6085.75,Correo
2014-01-01,24,175162,Querétaro,QUE,7298.416666666667,Call Center
2014-01-01,23,124150,Querétaro,QUE,5397.826086956522,Recomendación
2014-01-01,31,208837,Querétaro,QUE,6736.677419354839,Web
2014-01-01,2,7704,Quintana Roo,ROO,3852,Correo
2014-01-01,12,55434,Quintana Roo,ROO,4619.5,Call Center
2014-01-01,12,39290,Quintana Roo,ROO,3274.1666666666665,Recomendación
2014-01-01,16,66091,Quintana Roo,ROO,4130.6875,Web
2014-01-01,1,7850,San Luis Potosí,SLP,7850,Correo
2014-01-01,9,56487,San Luis Potosí,SLP,6276.333333333333,Call Center
2014-01-01,9,40036,San Luis Potosí,SLP,4448.444444444444,Recomendación
2014-01-01,11,67347,San Luis Potosí,SLP,6122.454545454545,Web
2014-01-01,1,5445,Sinaloa,SIN,5445,Correo
2014-01-01,9,39179,Sinaloa,SIN,4353.222222222223,Call Center
2014-01-01,9,27769,Sinaloa,SIN,3085.4444444444443,Recomendación
2014-01-01,12,46711,Sinaloa,SIN,3892.5833333333335,Web
2014-01-01,2,10604,Sonora,SON,5302,Correo
2014-01-01,10,76302,Sonora,SON,7630.2,Call Center
2014-01-01,10,54081,Sonora,SON,5408.1,Recomendación
2014-01-01,13,90971,Sonora,SON,6997.7692307692305,Web
2014-01-01,2,11961,Tabasco,TAB,5980.5,Correo
2014-01-01,12,86063,Tabasco,TAB,7171.916666666667,Call Center
2014-01-01,11,60999,Tabasco,TAB,5545.363636363636,Recomendación
2014-01-01,15,102608,Tabasco,TAB,6840.533333333334,Web
2014-01-01,1,6837,Tamaulipas,TAM,6837,Correo
2014-01-01,8,49193,Tamaulipas,TAM,6149.125,Call Center
2014-01-01,8,34867,Tamaulipas,TAM,4358.375,Recomendación
2014-01-01,10,58650,Tamaulipas,TAM,5865,Web
2014-01-01,2,8657,Tlaxcala,TLA,4328.5,Correo
2014-01-01,11,62294,Tlaxcala,TLA,5663.090909090909,Call Center
2014-01-01,11,44152,Tlaxcala,TLA,4013.818181818182,Recomendación
2014-01-01,14,74270,Tlaxcala,TLA,5305,Web
2014-01-01,2,9175,Veracruz de Ignacio de la Llave,VER,4587.5,Correo
